                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.96655,                0.58958,                 1.1367,                0.92945,                0.88567,                0.94355,                0.65998,                 1.0322,                0.52004,                 1.1867,              0.0006536,              0.0006536,              0.0006536
                     36,                0.94007,                0.56977,                 1.1194,                0.92661,                0.90187,                0.94877,                 0.6613,                 1.0349,                0.50165,                 1.2208,               0.000614,               0.000614,               0.000614
                     37,                0.94617,                0.56648,                 1.1166,                0.93887,                0.86975,                0.95188,                0.66847,                 1.0158,                 0.5087,                 1.1777,              0.0005744,              0.0005744,              0.0005744
                     38,                 0.9189,                  0.549,                 1.1129,                0.92864,                0.90336,                 0.9639,                 0.6698,                 1.0265,                0.51798,                 1.1935,              0.0005348,              0.0005348,              0.0005348
                     39,                0.91791,                0.54404,                 1.1106,                0.93865,                0.89998,                0.95107,                0.66862,                 1.0254,                 0.4869,                 1.2046,              0.0004952,              0.0004952,              0.0004952
                     40,                0.90545,                0.53723,                 1.0895,                0.90836,                0.91621,                0.95934,                0.66411,                 1.0306,                0.49636,                 1.2058,              0.0004556,              0.0004556,              0.0004556
                     41,                0.85654,                0.44749,                  1.077,                0.95052,                0.88793,                0.95681,                0.65238,                  1.063,                0.49986,                 1.2409,               0.000416,               0.000416,               0.000416
                     42,                0.80492,                 0.4283,                 1.0497,                 0.9198,                0.91176,                 0.9566,                0.65389,                 1.0817,                0.50723,                 1.2467,              0.0003764,              0.0003764,              0.0003764
                     43,                0.80993,                 0.4224,                 1.0527,                0.93815,                0.89231,                0.95017,                0.67284,                 1.0069,                0.49461,                 1.2013,              0.0003368,              0.0003368,              0.0003368
                     44,                0.78747,                0.40927,                 1.0399,                 0.9271,                0.89496,                0.94634,                0.66424,                 1.0217,                0.49608,                 1.2247,              0.0002972,              0.0002972,              0.0002972
                     45,                0.77121,                 0.4034,                 1.0315,                0.94726,                0.90564,                0.94712,                0.67485,                 1.0082,                0.49528,                 1.2075,              0.0002576,              0.0002576,              0.0002576
                     46,                0.75066,                0.38827,                  1.015,                0.93012,                0.89487,                 0.9437,                0.67513,                0.98471,                0.50478,                 1.1931,               0.000218,               0.000218,               0.000218
                     47,                0.74819,                0.38724,                 1.0142,                0.91151,                0.91176,                0.94362,                0.67418,                 1.0133,                0.48192,                  1.204,              0.0001784,              0.0001784,              0.0001784
                     48,                0.73268,                 0.3762,                 1.0065,                0.94861,                0.89076,                0.93713,                0.66401,                  1.028,                 0.4861,                 1.2352,              0.0001388,              0.0001388,              0.0001388
                     49,                0.71506,                0.36556,                0.99374,                0.93087,                 0.9053,                0.94665,                0.67602,                 1.0018,                0.48594,                 1.2079,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.70974,                0.36714,                0.99168,                0.94059,                0.89916,                0.94256,                0.67498,                 1.0019,                0.48015,                 1.2068,               5.96e-05,               5.96e-05,               5.96e-05
