                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.1248,                  0.531,                 1.1237,                0.84182,                0.69406,                0.76031,                0.42372,                 1.4627,                 1.0712,                 1.4027,               0.000878,               0.000878,               0.000878
                     37,                 1.1371,                0.53944,                 1.1318,                0.85599,                0.68037,                0.77211,                0.42869,                 1.4488,                 1.1471,                 1.3797,               0.000845,               0.000845,               0.000845
                     38,                 1.1278,                0.53053,                 1.1242,                0.73492,                 0.6583,                0.71053,                0.37065,                 1.5609,                 1.0623,                 1.4568,               0.000812,               0.000812,               0.000812
                     39,                 1.1327,                0.53256,                  1.129,                 0.8323,                 0.6621,                0.74824,                  0.393,                 1.5284,                 1.1742,                 1.4436,               0.000779,               0.000779,               0.000779
                     40,                 1.1235,                 0.5338,                 1.1209,                0.82545,                0.68037,                0.76283,                0.38884,                 1.5792,                 1.0749,                 1.4626,               0.000746,               0.000746,               0.000746
                     41,                 1.1138,                0.52386,                 1.1148,                0.81862,                0.70069,                0.75322,                0.43435,                  1.444,                0.98538,                 1.3593,               0.000713,               0.000713,               0.000713
                     42,                 1.0999,                0.51591,                 1.1155,                0.77649,                0.73059,                0.76525,                0.42529,                 1.4415,                 1.0135,                 1.3629,                0.00068,                0.00068,                0.00068
                     43,                 1.1078,                0.50565,                 1.1064,                0.76919,                0.72603,                0.75831,                0.42558,                 1.4478,                0.98976,                 1.3613,               0.000647,               0.000647,               0.000647
                     44,                 1.0906,                0.49752,                 1.1088,                0.74746,                0.75799,                0.77015,                0.42515,                  1.468,                0.97322,                 1.3618,               0.000614,               0.000614,               0.000614
                     45,                 1.0733,                0.49651,                 1.0936,                 0.8083,                0.73973,                0.79068,                 0.4383,                 1.4671,                0.91297,                 1.3817,               0.000581,               0.000581,               0.000581
                     46,                 1.0901,                 0.4899,                 1.0953,                0.85098,                0.74429,                0.79642,                0.44329,                 1.5105,                0.91634,                 1.4379,               0.000548,               0.000548,               0.000548
                     47,                 1.0933,                0.49538,                  1.104,                0.88615,                0.69406,                0.80474,                0.46147,                 1.3941,                0.92186,                 1.3246,               0.000515,               0.000515,               0.000515
                     48,                 1.0791,                0.49257,                 1.0946,                0.85953,                0.69852,                0.79056,                0.45817,                 1.4321,                0.98623,                 1.3332,               0.000482,               0.000482,               0.000482
                     49,                 1.0695,                0.48937,                 1.0926,                0.86942,                0.72969,                0.80471,                0.44109,                   1.48,                0.89124,                 1.3651,               0.000449,               0.000449,               0.000449
                     50,                 1.0686,                0.49255,                 1.0935,                0.86247,                0.72603,                0.80863,                0.43764,                 1.4786,                0.91088,                 1.3359,               0.000416,               0.000416,               0.000416
                     51,                 1.0481,                0.42405,                 1.0979,                0.87299,                0.72184,                0.79468,                0.46722,                 1.4072,                0.94417,                 1.3211,               0.000383,               0.000383,               0.000383
                     52,                 1.0415,                0.42557,                 1.1057,                0.89439,                0.73059,                0.80399,                0.48269,                 1.4173,                0.84313,                 1.3288,                0.00035,                0.00035,                0.00035
                     53,                 1.0347,                0.41414,                 1.1032,                0.92483,                0.73028,                0.81559,                0.48063,                 1.4168,                0.84774,                 1.3333,               0.000317,               0.000317,               0.000317
                     54,                 1.0155,                0.41031,                  1.089,                0.90601,                0.72146,                0.80832,                0.48893,                 1.3935,                0.84669,                 1.3118,               0.000284,               0.000284,               0.000284
                     55,                 1.0241,                0.40782,                  1.089,                0.90561,                0.74477,                0.82073,                0.50073,                 1.4096,                0.81979,                 1.3285,               0.000251,               0.000251,               0.000251
                     56,                 1.0138,                0.40333,                 1.0784,                0.88429,                0.77626,                0.81152,                0.48527,                 1.4516,                0.83463,                 1.3251,               0.000218,               0.000218,               0.000218
                     57,                 1.0095,                0.39381,                 1.0831,                0.89218,                0.76712,                0.82363,                0.50367,                  1.399,                0.81822,                 1.2944,               0.000185,               0.000185,               0.000185
                     58,                0.99218,                0.39331,                 1.0741,                0.91062,                 0.7443,                0.82236,                0.52027,                 1.3725,                0.81494,                 1.2758,               0.000152,               0.000152,               0.000152
                     59,                0.99472,                0.38776,                  1.074,                0.88568,                0.75342,                0.81113,                0.51067,                 1.3937,                 0.8172,                 1.2937,               0.000119,               0.000119,               0.000119
                     60,                0.98553,                0.38622,                 1.0773,                0.90739,                0.74429,                0.80904,                0.49447,                 1.4016,                0.84023,                  1.303,                8.6e-05,                8.6e-05,                8.6e-05
