                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.053,                0.94757,                 1.1755,                0.75866,                0.65639,                0.67164,                0.43139,                 1.2934,                 1.3176,                 1.3854,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.0402,                0.90004,                 1.1602,                0.71695,                0.67311,                0.69425,                0.44883,                 1.2781,                 1.1691,                 1.3674,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.0304,                0.91941,                 1.1645,                 0.7303,                0.66932,                0.70275,                0.47307,                 1.1906,                  1.097,                 1.3274,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.0378,                0.90206,                 1.1514,                0.80334,                0.62654,                0.72002,                0.46523,                 1.2473,                  1.134,                 1.3485,              0.0010729,              0.0010729,              0.0010729
                     38,                  1.044,                0.93962,                  1.175,                0.74609,                0.69141,                0.71417,                0.47447,                 1.2073,                 1.1234,                 1.3062,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.0189,                0.86655,                 1.1388,                0.78922,                0.67167,                0.72345,                0.46797,                 1.2339,                 1.1156,                 1.3267,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.0205,                0.86696,                  1.143,                0.76237,                0.62986,                0.70075,                0.46155,                 1.2332,                 1.1767,                 1.3318,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.0248,                0.88322,                 1.1415,                0.72695,                0.71687,                0.72013,                0.47105,                 1.2209,                 1.1344,                 1.3534,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.0144,                0.87901,                 1.1382,                 0.7601,                0.69301,                0.73037,                0.48571,                 1.1969,                 1.1281,                 1.3071,             0.00099036,             0.00099036,             0.00099036
                     43,                0.99858,                0.85519,                 1.1336,                0.75412,                0.62274,                0.69249,                0.46786,                 1.1984,                 1.1511,                 1.3323,             0.00097386,             0.00097386,             0.00097386
                     44,                0.97559,                0.82184,                   1.11,                0.77346,                0.64337,                0.71229,                0.47352,                 1.2197,                 1.1454,                 1.3353,             0.00095736,             0.00095736,             0.00095736
                     45,                 0.9708,                0.83499,                 1.1283,                0.72237,                  0.647,                0.69814,                0.45823,                 1.2277,                 1.1249,                 1.3614,             0.00094085,             0.00094085,             0.00094085
                     46,                  1.002,                0.82777,                 1.1278,                0.79621,                0.63898,                0.71309,                0.45901,                  1.213,                 1.1469,                 1.3226,             0.00092435,             0.00092435,             0.00092435
                     47,                0.94862,                0.80333,                 1.1133,                0.81191,                0.63117,                0.69768,                0.46301,                 1.2296,                  1.136,                 1.3533,             0.00090785,             0.00090785,             0.00090785
                     48,                0.98152,                0.78676,                 1.1043,                0.70606,                0.62726,                0.67132,                 0.4621,                 1.1972,                 1.2375,                 1.3341,             0.00089134,             0.00089134,             0.00089134
                     49,                0.95195,                0.80177,                 1.1128,                0.78122,                0.66324,                0.70848,                0.47668,                 1.2006,                 1.1552,                 1.3449,             0.00087484,             0.00087484,             0.00087484
                     50,                 0.9532,                0.79286,                 1.0921,                0.80984,                0.67208,                0.71969,                0.47233,                 1.2307,                 1.1526,                 1.3398,             0.00085834,             0.00085834,             0.00085834
                     51,                0.95679,                0.76674,                 1.0889,                0.73368,                0.71711,                0.71721,                0.47615,                 1.2106,                 1.0981,                 1.3099,             0.00084184,             0.00084184,             0.00084184
                     52,                0.91631,                0.74168,                 1.0973,                0.75243,                0.67958,                0.71902,                 0.4872,                 1.1816,                 1.0657,                 1.3073,             0.00082533,             0.00082533,             0.00082533
                     53,                0.92888,                0.72659,                 1.0848,                0.77073,                0.62018,                0.69331,                0.46957,                 1.1571,                 1.1349,                 1.2772,             0.00080883,             0.00080883,             0.00080883
                     54,                0.91553,                0.73771,                 1.0807,                0.77193,                0.59109,                0.67205,                0.44255,                 1.1916,                 1.1969,                 1.3372,             0.00079233,             0.00079233,             0.00079233
                     55,                 0.8972,                 0.7216,                 1.0675,                0.76873,                0.70533,                0.74262,                 0.4881,                 1.1829,                 1.0441,                 1.3297,             0.00077582,             0.00077582,             0.00077582
                     56,                0.90313,                0.72391,                 1.0729,                0.76266,                 0.6803,                0.72761,                0.49151,                 1.1885,                 1.0861,                 1.3334,             0.00075932,             0.00075932,             0.00075932
                     57,                0.91844,                0.71632,                 1.0845,                0.83645,                0.64025,                0.73654,                0.49909,                 1.1267,                 1.0723,                 1.2749,             0.00074282,             0.00074282,             0.00074282
                     58,                0.90553,                 0.7222,                 1.0873,                  0.739,                0.61637,                0.68713,                0.46792,                 1.1631,                 1.1675,                 1.3046,             0.00072631,             0.00072631,             0.00072631
                     59,                0.87446,                0.68344,                 1.0613,                0.81044,                0.66775,                0.73919,                0.50228,                 1.1993,                 1.0698,                 1.3373,             0.00070981,             0.00070981,             0.00070981
                     60,                0.87202,                0.69224,                 1.0641,                0.78248,                0.64638,                0.72582,                0.46635,                 1.2167,                   1.12,                 1.3592,             0.00069331,             0.00069331,             0.00069331
                     61,                0.86497,                0.68319,                 1.0575,                0.74439,                0.69737,                 0.7407,                0.49774,                 1.1627,                 1.0692,                 1.3215,              0.0006768,              0.0006768,              0.0006768
                     62,                 0.8724,                0.67067,                 1.0613,                0.81072,                0.62303,                0.71744,                0.49046,                 1.1572,                 1.1288,                 1.3132,              0.0006603,              0.0006603,              0.0006603
                     63,                0.85436,                0.69327,                 1.0617,                0.77036,                0.61456,                0.68867,                0.47028,                 1.1927,                 1.1188,                   1.33,              0.0006438,              0.0006438,              0.0006438
                     64,                0.86707,                0.66295,                 1.0542,                0.77838,                0.63683,                 0.7164,                0.48228,                 1.1823,                 1.0774,                 1.3134,             0.00062729,             0.00062729,             0.00062729
                     65,                0.84773,                0.66237,                 1.0447,                0.83635,                0.62856,                0.71679,                0.48502,                 1.1889,                 1.1243,                 1.3394,             0.00061079,             0.00061079,             0.00061079
                     66,                0.86236,                0.63151,                 1.0454,                0.78468,                0.68747,                0.72571,                0.50607,                 1.1228,                  1.078,                 1.3059,             0.00059429,             0.00059429,             0.00059429
                     67,                0.84722,                0.65287,                 1.0497,                0.72948,                0.69201,                0.71794,                 0.4929,                  1.109,                 1.0272,                 1.2712,             0.00057778,             0.00057778,             0.00057778
                     68,                0.82451,                0.60788,                 1.0197,                0.79554,                0.67284,                0.72628,                0.49238,                 1.1558,                 1.0681,                  1.308,             0.00056128,             0.00056128,             0.00056128
                     69,                0.83656,                0.63377,                 1.0314,                0.80015,                  0.647,                0.70642,                0.48071,                  1.156,                 1.0687,                 1.3127,             0.00054478,             0.00054478,             0.00054478
                     70,                0.83117,                0.62043,                 1.0253,                0.74219,                0.70847,                0.72807,                0.49837,                 1.1647,                 1.0156,                 1.3326,             0.00052827,             0.00052827,             0.00052827
                     71,                 0.8325,                0.61762,                 1.0265,                0.76675,                0.69017,                0.73229,                0.51055,                 1.1653,                 1.0192,                 1.3221,             0.00051177,             0.00051177,             0.00051177
                     72,                0.79302,                 0.5995,                 1.0108,                 0.8401,                0.66016,                0.74515,                 0.5082,                 1.1522,                 1.0132,                 1.3191,             0.00049527,             0.00049527,             0.00049527
                     73,                0.81286,                0.61135,                 1.0315,                0.75621,                0.66859,                0.70149,                0.47897,                 1.1381,                 1.0932,                    1.3,             0.00047876,             0.00047876,             0.00047876
                     74,                0.79956,                 0.6106,                 1.0278,                0.80523,                 0.6581,                0.70634,                0.47988,                 1.1529,                  1.085,                 1.2993,             0.00046226,             0.00046226,             0.00046226
